domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
bstn.org,2003-04-28 18:26:14+00:00,2025-03-04 08:15:24+00:00,2030-04-28 18:26:14+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
hypeinc.com.au,,2024-06-01 15:25:12+00:00,,Synergy Wholesale Accreditations Pty Ltd,,
cebsa.mx,2020-04-13 00:00:00+00:00,2024-07-28 00:00:00+00:00,2029-04-13 00:00:00+00:00,GoDaddy.com,,
elfond.ee,,,2027-12-18 00:00:00+00:00,Haridus- ja Teadusministeerium (EENet),,
dart.net,2001-07-29 19:16:08+00:00,2024-07-29 19:22:35+00:00,2034-07-29 19:16:08+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
grotoncs.org,2000-11-10 18:23:53+00:00,2024-12-25 18:24:20+00:00,2025-11-10 18:23:53+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
farmflix.tv,2017-06-10 10:16:01+00:00,2024-06-23 10:28:46+00:00,2025-06-10 10:16:01+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
generalbank.ca,2004-11-26 18:39:13+00:00,2025-02-18 16:02:52+00:00,2025-11-26 05:00:00+00:00,Webnames.ca Inc.,abuse@webnames.ca,https://webnames.ca
bileklik.net,2022-11-21 19:20:03+00:00,2024-12-31 07:17:58+00:00,2025-11-21 19:20:03+00:00,Automattic Inc.,domainabuse@automattic.com,https://automattic.com
jasch.biz,2006-08-24 11:49:23+00:00,2024-07-31 04:44:04+00:00,,Tucows Domains Inc.,compliance@tucows.com,https://tucows.com
pages.plusgoogle.com,2009-09-14 14:21:39+00:00,2024-08-13 09:56:02+00:00,2025-09-14 14:21:39+00:00,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com
europlansystemtechnik.de,,2008-02-15 04:57:54+01:00,,,,
coastsalishyouth.org,2024-11-05 06:07:47+00:00,2025-03-04 16:18:54+00:00,2029-11-05 06:07:47+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
gladstonemi.org,2000-09-19 19:58:21+00:00,2024-09-08 20:41:40+00:00,2025-09-19 19:58:21+00:00,PDR Ltd. d/b/a PublicDomainRegistry.com,abuse@publicdomainregistry.com,https://publicdomainregistry.com
abentour.de,,2022-04-12 09:45:31+02:00,,,,
envisionconsulting.world,2020-08-21 13:32:27+00:00,2024-10-05 13:32:36+00:00,2025-08-21 13:32:27+00:00,"GoDaddy.com, LLC",cctldassistance@godaddy.com,https://godaddy.com
keytrainingcenter.org,2005-03-14 21:29:51.140000+00:00,2024-06-07 12:41:10+00:00,2026-03-14 21:29:51.140000+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
captchastudios.co.uk,2010-09-04 00:00:00+00:00,2024-09-05 00:00:00+00:00,2025-09-04 00:00:00+00:00,"GoDaddy.com, LLC. [Tag = GODADDY]",,
mariadiet.es,,,,,,
paradisii.co.uk,1999-09-18 00:00:00+00:00,2024-08-07 00:00:00+00:00,2025-09-18 00:00:00+00:00,123-Reg Limited t/a 123-reg [Tag = 123-REG],,
ideastar.ca,2021-09-26 17:56:01+00:00,2023-09-27 14:30:11+00:00,2025-09-26 17:56:01+00:00,"Go Daddy Domains Canada, Inc",abuse@godaddy.com,https://godaddy.com
esu10.org,1999-03-23 05:00:00+00:00,2024-06-08 16:06:47+00:00,2026-03-23 05:00:00+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
citylit.ac.uk,1996-08-01 00:00:00+00:00,,,No registrar listed.  This domain is directly registered with Nominet.,,
eagletax.net,2014-01-18 22:17:08+00:00,2025-01-03 12:17:32+00:00,2026-01-18 22:17:08+00:00,"Domain.com, LLC",compliance@domain-inc.net,https://domain-inc.net
onepost.co.nz,,,,,,
xtronic.de,,2025-02-18 10:08:13+01:00,,,,
pspc.com.au,,2024-06-01 03:25:03+00:00,,Synergy Wholesale Accreditations Pty Ltd,,
ceylanholding.net,2016-12-06 09:35:01+00:00,2024-08-07 08:57:59+00:00,2029-12-06 09:35:01+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
sumato.com.tr,2015-12-31 00:00:00+00:00,,2029-12-30 00:00:00+00:00,,,
trac.nsw.edu.au,,2025-01-31 00:00:31+00:00,,Education Services Australia Limited,,
brainstation.io,2014-12-03 15:36:11+00:00,2025-01-17 15:37:10+00:00,2026-12-03 15:36:11+00:00,"GoDaddy.com, LLC",,
realio.fund,2018-07-29 23:43:37+00:00,2024-09-12 23:44:07+00:00,2025-07-29 23:43:37+00:00,"GoDaddy.com, LLC",cctldassistance@godaddy.com,https://godaddy.com
