domain,registration_date,last_updated,expiration_date,registrar_name,registrar_email,registrar_url
marionstar.com,1999-11-23 13:27:59+00:00,2024-10-24 23:02:37+00:00,2025-11-23 13:27:59+00:00,"GoDaddy Corporate Domains, LLC",abuse@gcd.com,https://gcd.com
marshallaerospace.com,1997-06-30 04:00:00+00:00,2024-06-26 03:45:27+00:00,2025-06-29 04:00:00+00:00,"ENOM, INC.",domainabuse@tucows.com,https://tucows.com
massageenvylocation.com,2016-12-07 19:53:32+00:00,2024-12-08 11:00:48+00:00,2026-12-07 19:53:32+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
matific.com,2014-01-20 14:56:11+00:00,2024-12-16 23:06:36+00:00,2026-01-20 14:56:11+00:00,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com
mayatama.net,2012-09-23 19:49:27+00:00,2024-09-11 04:49:21+00:00,2025-09-23 19:49:27+00:00,CV. Rumahweb Indonesia,abuse@rumahweb.co.id,https://rumahweb.co.id
mayoral.com,2012-10-29 00:00:00+00:00,2025-01-07 05:22:38+00:00,2026-01-26 05:00:00+00:00,NOMINALIA INTERNET S.L.,abuse@nominalia.com,https://nominalia.com
mazda.ca,2000-10-20 18:01:34+00:00,2025-01-16 16:02:36+00:00,2026-06-05 04:00:00+00:00,Webnames.ca Inc.,abuse@webnames.ca,https://webnames.ca
mcgrp.ru,2010-09-10 11:41:51+00:00,,2025-09-10 12:41:51+00:00,REGRU-RU,,
mconvert.net,2014-09-28 07:59:08+00:00,2024-08-21 03:54:22+00:00,2026-09-28 07:59:08+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
mdminc.net,2012-11-09 15:21:13+00:00,2024-11-08 21:22:10+00:00,2026-11-09 15:21:13+00:00,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com
mecatec.co.uk,2014-10-22 00:00:00+00:00,2024-09-09 00:00:00+00:00,2027-10-22 00:00:00+00:00,Team Blue Internet Services UK Limited [Tag = NAMESCO],,
med24.dk,2005-08-11 00:00:00+00:00,,2033-08-31 00:00:00+00:00,,,
medibangpaint.com,2015-05-29 10:14:31+00:00,2024-05-14 00:31:30+00:00,2025-05-29 10:14:31+00:00,"GMO Internet, Inc.",abuse@gmo.jp,https://gmo.jp
mediclincase.com,,,,,,
medweb.net,1994-07-12 04:00:00+00:00,2024-07-11 04:08:53+00:00,2034-07-11 04:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
megvii.com,2012-08-16 06:14:11+00:00,2024-01-15 10:21:13+00:00,2033-08-16 06:14:11+00:00,"Alibaba Cloud Computing (Beijing) Co., Ltd.",DomainAbuse@service.aliyun.com,https://service.aliyun.com
melibo.de,,2021-07-20 15:21:52+02:00,,,,
mer.org,1997-08-22 04:00:00+00:00,2024-11-23 09:37:27+00:00,2032-08-21 04:00:00+00:00,Launchpad.com Inc.,abuse@hostgator.com,https://hostgator.com
metacpan.org,2010-11-03 14:47:47+00:00,2023-09-10 15:02:19+00:00,2028-11-03 14:47:47+00:00,"pair Networks, Inc. d/b/a pair Domains",abuse@pairdomains.com,https://pairdomains.com
metronomeonline.com,2001-08-03 07:11:45+00:00,2024-11-06 14:02:41+00:00,2025-11-05 11:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
mi-emsis.org,2007-11-07 13:26:34+00:00,2024-12-22 13:27:26+00:00,2025-11-07 13:26:34+00:00,"Wild West Domains, LLC",domainops@godaddy.com,https://godaddy.com
micros.com,1991-02-08 05:00:00+00:00,2025-01-08 09:47:34+00:00,2026-02-09 05:00:00+00:00,"MarkMonitor, Inc.",abusecomplaints@markmonitor.com,https://markmonitor.com
microscan.co.in,2007-02-07 12:52:30+00:00,2023-09-22 09:37:09+00:00,2026-02-07 12:52:30+00:00,"GoDaddy.com, LLC",,
mindpumpmedia.com,2015-11-13 20:38:29+00:00,2024-06-04 15:15:58+00:00,2025-06-03 11:59:59+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
mindsharedesign.com,1997-10-13 04:00:00+00:00,2024-09-08 06:30:20+00:00,2029-10-12 04:00:00+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
minksoad.top,2023-06-16 07:48:37+00:00,2025-02-23 07:00:00+00:00,2028-06-16 07:48:37+00:00,"NameSilo, LLC",abuse@namesilo.com,https://namesilo.com
mkto-ab260181.com,2017-09-21 23:06:13+00:00,2025-02-07 21:47:51+00:00,2025-09-21 23:06:13+00:00,NOM-IQ Ltd dba Com Laude,abuse@comlaude.com,https://comlaude.com
mmscloudteam.com,2014-09-28 00:12:02+00:00,2024-08-24 01:37:04+00:00,2025-09-28 00:12:02+00:00,Gandi SAS,abuse@support.gandi.net,https://support.gandi.net
mo21.biz,2024-05-05 18:31:25+00:00,2024-12-20 05:08:56+00:00,2025-05-05 18:31:25+00:00,DYNADOT LLC,abuse@dynadot.com,https://dynadot.com
mobilemini.co.uk,2006-02-23 00:00:00+00:00,2023-05-31 00:00:00+00:00,2026-02-23 00:00:00+00:00,Gandi [Tag = GANDI],,
mobpanda.dev,2019-08-27 04:15:37+00:00,2024-08-31 19:52:04+00:00,2025-08-27 04:15:37+00:00,NAMECHEAP INC,abuse@namecheap.com,https://namecheap.com
mohd.it,2004-07-16 00:00:00+00:00,2024-10-15 00:55:45+00:00,2025-09-29 00:00:00+00:00,Genesys Informatica S.r.l.,,
momcollective.com,2018-05-22 16:28:31+00:00,2024-05-23 12:02:40+00:00,2025-05-22 16:28:31+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
moncheribridals.com,1998-12-21 05:00:00+00:00,2022-09-08 13:22:12+00:00,2026-12-21 05:00:00+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
moneymatrix.com,2005-05-31 18:05:38+00:00,2023-12-11 11:16:50+00:00,2029-05-31 18:05:38+00:00,"DNC Holdings, Inc",abuse@directnic.com,https://directnic.com
monkapps.com,2011-08-05 19:43:26+00:00,2024-07-02 21:58:46+00:00,2025-08-05 19:43:26+00:00,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com
motorsportreg.com,2004-09-09 22:20:03+00:00,2024-08-06 22:39:50+00:00,2025-09-09 22:20:03+00:00,"Amazon Registrar, Inc.",trustandsafety@support.aws.com,https://support.aws.com
mp3fromlink.com,2020-12-29 09:42:07+00:00,2024-12-30 10:10:25+00:00,2026-12-29 09:42:07+00:00,"GoDaddy.com, LLC",abuse@godaddy.com,https://godaddy.com
ms-online.pl,2014-04-11 16:19:04+00:00,2024-04-05 15:50:53+00:00,2025-04-11 16:19:04+00:00,nazwa.pl sp. z o.o.,,
msendpointmgr.com,2019-11-01 05:07:40+00:00,2024-10-02 07:30:46+00:00,2025-11-01 05:07:40+00:00,"NameCheap, Inc.",abuse@namecheap.com,https://namecheap.com
msisurvey.com,2003-04-07 20:36:41+00:00,2025-02-06 07:14:26+00:00,2026-04-07 20:36:41+00:00,"Network Solutions, LLC",domain.operations@web.com,https://web.com
mustelausa.com,2001-04-10 13:17:00+00:00,2024-12-04 09:42:04+00:00,2025-04-10 13:17:00+00:00,Nameshield SAS,abuse@nameshield.net,https://nameshield.net
