URL,ip_address,Traffic
https://ipinfo.io/111.90.150.204,111.90.150.204,7014
https://ipinfo.io/172.16.50.4,172.16.50.4,4975
https://ipinfo.io/1.0.0.1,1.0.0.1,3754
https://ipinfo.io/1.254.254.254,1.254.254.254,3512
https://ipinfo.io/185.63.253.200,185.63.253.200,2493
https://ipinfo.io/1.0.0.0,1.0.0.0,2072
https://ipinfo.io/10.16.100.244,10.16.100.244,1995
https://ipinfo.io/45.76.33.4,45.76.33.4,1885
https://ipinfo.io/2.2.2.2,2.2.2.2,1839
https://ipinfo.io/4.4.4.4,4.4.4.4,1805
https://ipinfo.io/192.168.49.1,192.168.49.1,1513
https://ipinfo.io/172.67.154.63,172.67.154.63,1498
https://ipinfo.io/192.168.1.1,192.168.1.1,1459
https://ipinfo.io/172.16.50.7,172.16.50.7,1302
https://ipinfo.io/104.21.86.25,104.21.86.25,1287
https://ipinfo.io/111.90.159.132,111.90.159.132,1187
https://ipinfo.io/104.21.66.3,104.21.66.3,1122
https://ipinfo.io/164.68.127.15,164.68.127.15,1030
https://ipinfo.io/172.16.50.14,172.16.50.14,1008
https://ipinfo.io/104.21.12.184,104.21.12.184,947
https://ipinfo.io/10.10.10.1,10.10.10.1,931
https://ipinfo.io/1.192.1.1,1.192.1.1,913
https://ipinfo.io/192.168.31.1,192.168.31.1,858
https://ipinfo.io/192.124.249.7,192.124.249.7,825
https://ipinfo.io/8.8.8.8,8.8.8.8,700
https://ipinfo.io/172.67.206.168,172.67.206.168,673
https://ipinfo.io/134.209.138.139,134.209.138.139,641
https://ipinfo.io/82.192.65.66,82.192.65.66,639
https://ipinfo.io/10.0.0.11,10.0.0.11,638
https://ipinfo.io/10.10.0.1,10.10.0.1,635
https://ipinfo.io/104.21.33.9,104.21.33.9,613
https://ipinfo.io/194.233.66.232,194.233.66.232,610
https://ipinfo.io/172.67.216.175,172.67.216.175,605
https://ipinfo.io/10.5.50.1,10.5.50.1,576
https://ipinfo.io/10.20.30.40,10.20.30.40,559
https://ipinfo.io/10.10.10.10,10.10.10.10,532
https://ipinfo.io/104.21.89.189,104.21.89.189,526
https://ipinfo.io/11.0.0.0,11.0.0.0,481
https://ipinfo.io/100.0.0.1,100.0.0.1,473
https://ipinfo.io/74.117.179.88,74.117.179.88,469
https://ipinfo.io/50.50.50.50,50.50.50.50,468
https://ipinfo.io/192.168.0.102,192.168.0.102,465
https://ipinfo.io/5.5.5.5,5.5.5.5,438
https://ipinfo.io/11.0.0.1,11.0.0.1,430
https://ipinfo.io/10.189.2.150,10.189.2.150,424
https://ipinfo.io/192.168.18.1,192.168.18.1,423
https://ipinfo.io/172.67.222.186,172.67.222.186,419
https://ipinfo.io/202.53.171.13,202.53.171.13,414
https://ipinfo.io/46.166.167.16,46.166.167.16,403
https://ipinfo.io/172.27.27.3,172.27.27.3,387
https://ipinfo.io/104.21.51.125,104.21.51.125,385
https://ipinfo.io/104.21.28.33,104.21.28.33,379
https://ipinfo.io/10.11.12.13,10.11.12.13,374
https://ipinfo.io/128.199.182.182,128.199.182.182,359
https://ipinfo.io/173.208.216.250,173.208.216.250,358
https://ipinfo.io/10.5.2.32,10.5.2.32,356
https://ipinfo.io/11.11.11.11,11.11.11.11,352
https://ipinfo.io/192.168.0.222,192.168.0.222,351
https://ipinfo.io/188.165.4.35,188.165.4.35,351
https://ipinfo.io/10.10.1.1,10.10.1.1,349
https://ipinfo.io/192.168.101.1,192.168.101.1,346
https://ipinfo.io/172.67.139.93,172.67.139.93,335
https://ipinfo.io/192.168.0.101,192.168.0.101,334
https://ipinfo.io/192.168.0.106,192.168.0.106,329
https://ipinfo.io/37.221.162.250,37.221.162.250,325
https://ipinfo.io/172.16.50.5,172.16.50.5,324
https://ipinfo.io/172.67.145.4,172.67.145.4,322
https://ipinfo.io/10.100.100.10,10.100.100.10,320
https://ipinfo.io/10.215.4.30,10.215.4.30,310
https://ipinfo.io/192.168.110.1,192.168.110.1,310
https://ipinfo.io/172.67.169.24,172.67.169.24,306
https://ipinfo.io/66.249.64.249,66.249.64.249,303
https://ipinfo.io/192.168.1.6,192.168.1.6,299
https://ipinfo.io/192.168.7.1,192.168.7.1,295
https://ipinfo.io/11.11.11.1,11.11.11.1,294
https://ipinfo.io/192.168.0.107,192.168.0.107,292
https://ipinfo.io/172.217.16.195,172.217.16.195,291
https://ipinfo.io/192.168.0.104,192.168.0.104,291
https://ipinfo.io/172.16.50.9,172.16.50.9,283
https://ipinfo.io/192.168.0.200,192.168.0.200,275
https://ipinfo.io/192.168.0.103,192.168.0.103,268
https://ipinfo.io/192.168.1.4,192.168.1.4,255
https://ipinfo.io/9.9.9.9,9.9.9.9,253
https://ipinfo.io/100.100.100.2,100.100.100.2,250
https://ipinfo.io/10.10.10.5,10.10.10.5,250
https://ipinfo.io/15.0.0.1,15.0.0.1,249
https://ipinfo.io/111.90.150.205,111.90.150.205,247
https://ipinfo.io/172.67.181.57,172.67.181.57,244
https://ipinfo.io/172.67.205.231,172.67.205.231,241
https://ipinfo.io/104.21.28.196,104.21.28.196,237
https://ipinfo.io/104.26.15.246,104.26.15.246,232
https://ipinfo.io/10.10.2.6,10.10.2.6,231
https://ipinfo.io/192.119.111.114,192.119.111.114,229
https://ipinfo.io/6.6.6.6,6.6.6.6,225
https://ipinfo.io/192.168.8.1,192.168.8.1,224
https://ipinfo.io/10.10.10.2,10.10.10.2,220
https://ipinfo.io/192.168.1.8,192.168.1.8,216
https://ipinfo.io/103.23.150.192,103.23.150.192,213
https://ipinfo.io/192.168.0.105,192.168.0.105,210
https://ipinfo.io/192.168.1.102,192.168.1.102,209
https://ipinfo.io/1.0.0.10,1.0.0.10,207
https://ipinfo.io/111.90.150.185,111.90.150.185,203
https://ipinfo.io/172.67.188.227,172.67.188.227,202
https://ipinfo.io/192.168.0.100,192.168.0.100,202
https://ipinfo.io/10.10.1.9,10.10.1.9,201
https://ipinfo.io/100.10.10.100,100.10.10.100,201
https://ipinfo.io/1.2.3.4,1.2.3.4,199
https://ipinfo.io/192.168.0.254,192.168.0.254,195
https://ipinfo.io/30.30.30.30,30.30.30.30,190
https://ipinfo.io/192.168.0.108,192.168.0.108,190
https://ipinfo.io/192.168.1.7,192.168.1.7,186
https://ipinfo.io/172.16.50.2,172.16.50.2,186
https://ipinfo.io/192.168.70.1,192.168.70.1,186
https://ipinfo.io/192.168.192.15,192.168.192.15,185
https://ipinfo.io/220.156.188.229,220.156.188.229,183
https://ipinfo.io/10.1.1.0,10.1.1.0,183
https://ipinfo.io/172.67.155.20,172.67.155.20,178
https://ipinfo.io/172.67.146.248,172.67.146.248,177
https://ipinfo.io/10.10.10.11,10.10.10.11,176
https://ipinfo.io/192.168.50.50,192.168.50.50,172
https://ipinfo.io/192.168.100.2,192.168.100.2,170
https://ipinfo.io/172.67.71.114,172.67.71.114,170
https://ipinfo.io/172.16.16.16,172.16.16.16,167
https://ipinfo.io/10.5.1.2,10.5.1.2,165
https://ipinfo.io/172.16.0.27,172.16.0.27,164
https://ipinfo.io/164.100.94.113,164.100.94.113,164
https://ipinfo.io/172.2.2.1,172.2.2.1,163
https://ipinfo.io/192.168.1.101,192.168.1.101,161
https://ipinfo.io/103.23.150.186,103.23.150.186,161
https://ipinfo.io/192.168.10.110,192.168.10.110,161
https://ipinfo.io/209.85.220.41,209.85.220.41,160
https://ipinfo.io/0.1.1.1,0.1.1.1,160
https://ipinfo.io/192.168.0.50,192.168.0.50,159
https://ipinfo.io/50.50.50.20,50.50.50.20,157
https://ipinfo.io/172.67.199.76,172.67.199.76,154
https://ipinfo.io/192.168.1.104,192.168.1.104,153
https://ipinfo.io/192.168.1.9,192.168.1.9,150
https://ipinfo.io/103.109.102.203,103.109.102.203,149
https://ipinfo.io/15.1.1.1,15.1.1.1,149
https://ipinfo.io/0.0.0.1,0.0.0.1,149
https://ipinfo.io/104.21.73.105,104.21.73.105,147
https://ipinfo.io/10.16.8.72,10.16.8.72,146
https://ipinfo.io/111.90.176.10,111.90.176.10,144
https://ipinfo.io/1.1.1.3,1.1.1.3,144
https://ipinfo.io/192.168.1.20,192.168.1.20,143
https://ipinfo.io/10.0.0.3,10.0.0.3,143
https://ipinfo.io/10.10.10.100,10.10.10.100,141
https://ipinfo.io/208.67.222.222,208.67.222.222,141
https://ipinfo.io/10.1.0.1,10.1.0.1,141
https://ipinfo.io/10.99.99.99,10.99.99.99,139
https://ipinfo.io/185.63.0.164,185.63.0.164,139
https://ipinfo.io/168.192.0.1,168.192.0.1,138
https://ipinfo.io/136.175.10.10,136.175.10.10,138
https://ipinfo.io/100.1.1.1,100.1.1.1,137
https://ipinfo.io/192.168.0.112,192.168.0.112,137
https://ipinfo.io/192.168.0.199,192.168.0.199,134
https://ipinfo.io/190.168.0.1,190.168.0.1,132
https://ipinfo.io/192.168.1.60,192.168.1.60,131
https://ipinfo.io/196.168.0.1,196.168.0.1,131
https://ipinfo.io/10.0.101.10,10.0.101.10,129
https://ipinfo.io/198.168.100.1,198.168.100.1,129
https://ipinfo.io/193.168.0.1,193.168.0.1,126
https://ipinfo.io/3.3.3.3,3.3.3.3,125
https://ipinfo.io/192.1.100.200,192.1.100.200,124
https://ipinfo.io/91.209.70.91,91.209.70.91,124
https://ipinfo.io/192.168.50.1,192.168.50.1,123
https://ipinfo.io/172.16.16.4,172.16.16.4,123
https://ipinfo.io/195.49.189.179,195.49.189.179,121
https://ipinfo.io/10.0.0.254,10.0.0.254,121
https://ipinfo.io/127.0.0.1,127.0.0.1,121
https://ipinfo.io/192.168.1.16,192.168.1.16,121
https://ipinfo.io/192.168.100.4,192.168.100.4,120
https://ipinfo.io/192.16.168.1,192.16.168.1,120
https://ipinfo.io/223.5.5.5,223.5.5.5,118
https://ipinfo.io/45.76.33.84,45.76.33.84,116
https://ipinfo.io/172.16.0.1,172.16.0.1,115
https://ipinfo.io/192.168.0.111,192.168.0.111,115
https://ipinfo.io/10.10.0.0,10.10.0.0,115
https://ipinfo.io/192.168.0.109,192.168.0.109,114
https://ipinfo.io/111.90.69.25,111.90.69.25,113
https://ipinfo.io/192.168.43.1,192.168.43.1,112
https://ipinfo.io/163.49.60.95,163.49.60.95,112
https://ipinfo.io/192.168.0.5,192.168.0.5,112
https://ipinfo.io/164.68.115.8,164.68.115.8,111
https://ipinfo.io/10.1.1.7,10.1.1.7,111
https://ipinfo.io/164.68.111.161,164.68.111.161,110
https://ipinfo.io/192.168.2.2,192.168.2.2,110
https://ipinfo.io/192.168.10.100,192.168.10.100,110
https://ipinfo.io/110.0.0.1,110.0.0.1,109
https://ipinfo.io/192.168.1.188,192.168.1.188,108
https://ipinfo.io/192.168.0.110,192.168.0.110,108
